OBJECTID,Linear_Distance_km_,Latitude,Longitude,HS,UCL,LCL,Resistencia,Distancia_area,porcen_cobertura,Dist_rios,Dist_corred,Altitud,NDVI,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_1,HOTSP
1,0.021,5.747495851,-75.60576682,-10.446496,5.742451,-5.821083,361.4532,13701.0977,0,92.6723,11400.1992,597,0.294225991,0.106799334,0.094446585,0.084969744,0.189226121,0.14909178,300.0105286,299.891571,0.088940039,0.136119008,1,0
2,0.062,5.747140626,-75.6058718,-10.496029,5.556452,-5.909606,354.6476,13682.7744,0,92.6723,11488.375,597,0.241870999,0.117380954,0.109675422,0.107333697,0.184968024,0.183991835,300.9951477,300.9841919,0.130431667,0.148367107,1,0
3,0.103,5.746784181,-75.60597678,-10.516991,5.352579,-5.982828,356.2083,13664.415,0,92.6723,11517.1201,589,0.255778015,0.117970839,0.107773654,0.105156273,0.187810868,0.164277285,300.9951477,300.7119446,0.108762875,0.144196033,1,0
4,0.144,5.746427736,-75.60608298,-10.554559,6.273501,-6.067077,357.6573,13646.1504,0,92.6723,11605.1475,589,0.336463988,0.120875493,0.109351099,0.106157631,0.188978195,0.16269204,300.5028381,300.4378662,0.110375226,0.153708339,1,0
5,0.186,5.746072511,-75.60618918,-10.595654,6.092167,-6.145568,342.2734,13627.9189,0,0,11605.1475,584,0.318883002,0.111706629,0.100053288,0.096289933,0.142712533,0.094974153,295.4803772,295.4219666,0.060702447,0.119133815,5,0
6,0.227,5.745717287,-75.60629416,-10.62765,5.946976,-6.20775,333.4886,13609.9609,0,0,11693.2461,583,0.072403602,0.119214892,0.110506311,0.111418389,0.116739638,0.056758046,293.4112854,293.7024231,0.040042669,0.118194863,5,0
7,0.268,5.745360841,-75.60639914,-10.648208,5.835086,-5.153777,327.455,13592.083,0,0,11693.2461,586,0.046083599,0.12010546,0.116191484,0.117412083,0.115588933,0.049191665,293.4112854,293.2685547,0.034215413,0.124271914,5,0
8,0.309,5.745001954,-75.60649558,-10.655129,5.764322,-5.181979,336.7854,13575.1533,0,0,11693.2461,586,0.195595995,0.110688984,0.099647954,0.090956897,0.146634102,0.065336235,293.9319458,293.5579224,0.035244666,0.116250992,5,0
9,0.351,5.744644288,-75.60659201,-10.651435,5.718598,-5.194757,359.6316,13558.4375,97,92.6723,11781.416,586,0.572679996,0.093326777,0.077954315,0.057330083,0.236236706,0.119162321,294.4503174,294.2783813,0.045880716,0.148768887,1,0
10,0.392,5.744286622,-75.60668967,-10.655734,5.677396,-5.211357,380.6088,13541.5771,61,92.6723,11781.416,592,0.667488992,0.092584237,0.079472117,0.057735428,0.303196013,0.157611951,294.9664307,294.851532,0.061270211,0.179920524,1,0
